"In the grading database, what is the 'relational spine'?","The central pathway connecting `STUDENT`, `STUDENT_GRADE`, and `DELIVERABLE` tables."
What SQL command is used to permanently delete an entire table and its data?,DROP TABLE
How can you detect 'orphaned' grade records that don't belong to any student?,Use a `LEFT JOIN` from `STUDENT_GRADE` to `STUDENT` and filter for `WHERE STUDENT.StudentID IS NULL`.
"In a `CASE` statement, what happens if no conditions are met and there is no `ELSE` clause?",The expression returns `NULL`.
What is the purpose of the `ROWS BETWEEN` clause in a window function?,"It defines a specific frame of rows relative to the current row, often used for moving averages."
Which SQL mechanic is used to ensure that a set of updates either all happen or none happen?,Transactions
What does 'Engineering Discipline' in SQL imply?,"Making queries that are reusable, performant, and safe for production environments."
Which command is used to save all changes made during a transaction?,COMMIT
Which command is used to undo all changes made during an uncommitted transaction?,ROLLBACK
How can an instructor identify 'at-risk' students using aggregation?,Use `GROUP BY StudentID` with `HAVING AVG(Score) < threshold_value`.
What characterizes a 'Composite Key'?,A primary or unique key that consists of two or more columns used together to ensure uniqueness.
What is the benefit of defining weights in a policy table rather than in query code?,"Policy changes only require updating data in one table, not rewriting multiple queries."
Which SQL pattern is used to show a student's score compared to the class average in the same row?,A scalar subquery in the `SELECT` clause calculating the overall average.
What is a 'Derived Table'?,A subquery used in the `FROM` clause that acts as a temporary table for the outer query.
How does `COALESCE` assist in making gradebook reports more readable?,It can replace `NULL` values (missing grades) with a label like 'Not Graded' or '0'.
Which mechanic enforces that a score must be between $0$ and $100$?,A `CHECK` constraint.
