Feedback,,,,"Line charts are recommended for showing change over time. Position and slope communicate direction and rate. Pie charts show composition, tables preserve detail, and KPI cards highlight single values."
,,,,
NewQuestion,MC,,,
ID,BITM330-CH12-Q05,,,
Title,CH12 Q5: Dishonest Axis - Truncated Bar Chart,,,
QuestionText,"A bar chart compares average scores across five departments. The vertical axis starts at 78 instead of zero, making an 80 and an 82 appear to be dramatically different. What principle does this violate?",,,
Points,1,,,
Difficulty,4,,,
Option,0,The chart uses too many colors,,Incorrect - The chart uses too many colors
Option,100,The visual encoding is dishonest - bar length should represent magnitude from a zero baseline,,Correct - The visual encoding is dishonest - bar length should represent magnitude from a
Option,0,The chart type is wrong for comparing categories,,Incorrect - The chart type is wrong for comparing categories
Option,0,The chart should have been a pie chart instead,,Incorrect - The chart should have been a pie chart instead
Hint,,,,What does the length of a bar represent? Should a small numerical difference look large?
Feedback,,,,"Bar charts encode values through length, so the axis should begin at zero. Truncating the axis exaggerates visual differences and creates a misleading impression."
,,,,
NewQuestion,MC,,,
ID,BITM330-CH12-Q06,,,
Title,CH12 Q6: ETL - Prepared Query as ETL Layer,,,
QuestionText,"A saved reporting query that joins, calculates, and labels data before any visualization tool imports it acts most like which stage of data preparation?",,,
Points,1,,,
Difficulty,4,,,
Option,0,"An ELT step - loading raw data first, then transforming it later",,"Incorrect - An ELT step - loading raw data first, then transforming it later"
Option,100,"A small ETL layer - extracting, transforming, and structuring data before downstream use",,"Correct - A small ETL layer - extracting, transforming, and structuring data before downst"
Option,0,A purely storage-level object with no role in the reporting pipeline,,Incorrect - A purely storage-level object with no role in the reporting pipeline
Option,0,A complete replacement for all further data preparation,,Incorrect - A complete replacement for all further data preparation
Hint,,,,Think about the order: does transformation happen before or after loading into the reporting tool?
Feedback,,,,"A reporting query follows the ETL pattern: Extract from tables, Transform through joins and calculations, Load a structured result for import. ELT would load raw data first."
,,,,
NewQuestion,MC,,,
ID,BITM330-CH12-Q07,,,
Title,CH12 Q7: Tool Selection - Print and Archive,,,
QuestionText,A department needs a recurring monthly summary showing exact figures by category for five senior leaders who will print and archive the document. The data lives in a single operational database. Which reporting approach is most justified?,,,
Points,1,,,
Difficulty,4,,,
Option,0,An interactive dashboard with animated visuals,,Incorrect - An interactive dashboard with animated visuals
Option,100,"A structured, printable report generated close to the source database",,"Correct - A structured, printable report generated close to the source database"
Option,0,A collaborative workspace with notes and status tags,,Incorrect - A collaborative workspace with notes and status tags
Option,0,Both an interactive dashboard AND a printable report,,Incorrect - Both an interactive dashboard AND a printable report
Hint,,,,"What does the audience actually do with the output? Print and archive, or explore interactively?"
Feedback,,,,"The simplest tool that fully meets the need is the right choice. For print-and-archive workflows with stable formats, structured reports close to the source database are most appropriate."
,,,,
NewQuestion,MC,,,
ID,BITM330-CH12-Q08,,,
Title,CH12 Q8: Clarity - Multiple Visualization Failures,,,
QuestionText,"A quarterly business review uses a 3-D pie chart with fifteen segments, a bar chart with a truncated axis, and unlabeled axes throughout. What is the most fundamental problem?",,,
Points,1,,,
Difficulty,5,,,
Option,0,The presentation uses too many different chart types,,Incorrect - The presentation uses too many different chart types
Option,100,The visuals fail the clarity test - a viewer cannot quickly and accurately understand what is being measured,,Correct - The visuals fail the clarity test - a viewer cannot quickly and accurately under
Option,0,The charts were not created with the most expensive software,,Incorrect - The charts were not created with the most expensive software
Option,0,Color choices are inconsistent across slides,,Incorrect - Color choices are inconsistent across slides
Hint,,,,All the described problems share one root cause. What is the most basic thing a visualization must do?
Feedback,,,,"Clarity is the most fundamental principle. The viewer must quickly understand what is measured, which population is included, what the units mean, and which result matters. All the described problems undermine this core requirement."
,,,,
NewQuestion,MC,,,
ID,BITM330-CH12-Q09,,,
Title,CH12 Q9: Enterprise Reporting - Governance and Scale,,,
QuestionText,"A large healthcare network must compare standardized quality metrics across thirty facilities, with governed definitions, automated weekly refresh, and role-based access. Which approach is appropriate?",,,
Points,1,,,
Difficulty,5,,,
Option,0,Individual spreadsheet files emailed weekly,,Incorrect - Individual spreadsheet files emailed weekly
Option,0,A shared collaborative workspace with manual data entry,,Correct - A shared collaborative workspace with manual data entry
Option,100,A governed business intelligence platform with shared data models and scheduled refresh,,Incorrect - A governed business intelligence platform with shared data models and scheduled
Option,0,Printed reports generated once per quarter,,Incorrect - Printed reports generated once per quarter
Hint,,,,"Consider the requirements: standardized metrics, automation, access control, and many locations. What infrastructure supports governance at scale?"
Feedback,,,,"Enterprise-scale reporting with governed metrics, automated refresh, and role-based access requires a governed BI platform. The choice of approach must match the scale and governance needs."
,,,,
NewQuestion,MC,,,
ID,BITM330-CH12-Q10,,,
Title,CH12 Q10: Context - Numbers Need Comparison,,,
QuestionText,A report shows a single number: Customer Retention: 84%. Nothing else. What is the most important improvement?,,,
Points,1,,,
Difficulty,4,,,
Option,0,Make the number larger with a more decorative font,,Incorrect - Make the number larger with a more decorative font
Option,100,"Add context - such as the previous period's rate, a target range, or a benchmark",,"Correct - Add context - such as the previous period's rate, a target range, or a benchmark"
Option,0,Convert the number into a pie chart,,Incorrect - Convert the number into a pie chart
Option,0,Add a second number showing total customer count,,Incorrect - Add a second number showing total customer count
Hint,,,,Is 84% good or bad? What information would help answer that question?
Feedback,,,,"A number becomes meaningful through comparison. Without context - a previous period, target, or benchmark - the reader cannot determine whether the value is good, bad, or expected."
,,,,
