Feedback,,,,"The starter database contains exactly 23 appointment records. You can verify this by opening the table and looking at the record count.",
,,,,,
//Q7: MC — AppointmentID measurement level,,,,,
NewQuestion,MC,,,,
ID,BITM330-SL01-Q07,,,,
Title,"Measurement level of AppointmentID",,,,
QuestionText,"Which measurement level best describes AppointmentID?",,,,
Points,1,,,,
Difficulty,2,,,,
Option,100,"Nominal, because it is an identifier with no mathematical meaning.",,"Correct. AppointmentID labels rows — you would never add, average, or multiply IDs.",
Option,0,"Ordinal, because IDs are always ranks.",,"IDs are labels, not ranks. AppointmentID 1024 is not 'better' than 1023.",
Option,0,"Interval, because the distance between IDs is meaningful.",,"The gap between 1001 and 1002 is not a meaningful measurement — it's just assignment order.",
Option,0,"Ratio, because ID 1024 is twice ID 512.",,"IDs have no meaningful zero point and cannot be meaningfully divided.",
Hint,,,,"Ask yourself: does it make sense to add two AppointmentIDs together or calculate an average AppointmentID?",
Feedback,,,,"Nominal data identifies or labels — it has no mathematical meaning beyond distinguishing one record from another.",
,,,,,
//Q8: MC — WeightKg measurement level,,,,,
NewQuestion,MC,,,,
ID,BITM330-SL01-Q08,,,,
Title,"Measurement level of WeightKg",,,,
QuestionText,"Which measurement level best describes WeightKg?",,,,
Points,1,,,,
Difficulty,2,,,,
Option,0,"Nominal",,"Weights are more than just labels.",
Option,0,"Ordinal",,"Weights can be ranked, but they also have equal intervals and a true zero — this makes them ratio.",
Option,0,"Interval",,"Weight has a true zero (0 kg means no weight), which makes it ratio, not interval.",
Option,100,"Ratio",,"Correct. Weight has equal intervals and a true zero — you can say one pet is twice the weight of another.",
Hint,,,,"Can you meaningfully say one weight is twice another? If yes, it's ratio data.",
Feedback,,,,"Ratio data has equal intervals and a true zero. Weight in kilograms meets both criteria: 30 kg is meaningfully twice 15 kg.",
,,,,,
//Q9: MS — Flat file problems,,,,,
NewQuestion,MS,,,,
ID,BITM330-SL01-Q09,,,,
Title,"Problems in the flat PETVAX_APPOINTMENTS table",,,,
QuestionText,"Select ALL that apply: Which are real problems in the flat PETVAX_APPOINTMENTS table?",,,,
Points,2,,,,
Difficulty,3,,,,
Scoring,RightAnswers,,,,
Option,1,"Owner names and emails repeat across rows.",,"Correct. Sarah Perry's email appears in both row 1001 and row 1005 — this is duplication.",
Option,1,"A pet name can appear with more than one owner.",,"Correct. 'Charlie' appears for both Barry Jones and Angela Garcia — the flat table cannot distinguish them reliably.",
Option,1,"There is no clean place to add a pet that has no appointment.",,"Correct. This is the insertion anomaly — you'd need to fake an appointment to store a new pet.",
Option,0,"The table has more than 100 columns.",,"The table has 15 columns, which is manageable — the problem is not column count but data mixing.",
Option,1,"Deleting all appointments for a pet can remove the only record that pet existed.",,"Correct. This is the deletion anomaly — pet data lives only on appointment rows.",
Hint,,,,"Look back at the anomaly examples in the lab: Sarah Perry (modification), Tiger (insertion), and Wendy Henry (deletion).",
Feedback,,,,"Flat files suffer from three anomaly types: modification (duplicated facts), insertion (no place for new entities), and deletion (losing data when deleting rows). Options A, B, C, and E are all real examples from PetVax. Option D is false — the table has only 15 columns.",
,,,,,
//Q10: MC — Modification anomaly,,,,,
NewQuestion,MC,,,,
ID,BITM330-SL01-Q10,,,,
Title,"Modification anomaly example",,,,
QuestionText,"If one owner changes an email address and that owner appears in multiple appointment rows, what kind of anomaly is this?",,,,
Points,1,,,,
Difficulty,2,,,,
Option,100,"Modification anomaly",,"Correct. Updating one row and missing another creates inconsistent data — the same fact disagrees with itself.",
Option,0,"Sorting error",,"This is not about sort order.",
Option,0,"Report formatting error",,"This is a data integrity problem, not formatting.",
Option,0,"Cascade delete",,"Cascade delete is about what happens when you remove a row, not update one.",
Hint,,,,"Think about Sarah Perry's email in rows 1001 and 1005 — what happens if you update only one row?",
Feedback,,,,"A modification anomaly occurs when the same fact is stored in multiple places and updating one copy but not the others creates inconsistency.",
,,,,,
//Q11: MC — Insertion anomaly,,,,,
NewQuestion,MC,,,,
ID,BITM330-SL01-Q11,,,,
Title,"Insertion anomaly example",,,,
QuestionText,"A new pet has not had an appointment yet, so there is no clean row where the pet can be stored. What anomaly is this?",,,,
Points,1,,,,
Difficulty,2,,,,
Option,0,"Modification anomaly",,"Modification is about updating, not adding new data.",
Option,100,"Insertion anomaly",,"Correct. You cannot insert a pet without fabricating a fake appointment row.",
Option,0,"Deletion anomaly",,"Deletion is about losing data when rows are removed.",
Option,0,"Aggregate query",,"This is a query type, not a database anomaly.",
Hint,,,,"Think about Tiger, the new dog with no appointment — where would you put this pet's record?",
Feedback,,,,"An insertion anomaly occurs when you cannot add new data without also adding unrelated data — like needing a fake appointment just to record that a pet exists.",
,,,,,
//Q12: MC — Deletion anomaly,,,,,
NewQuestion,MC,,,,
ID,BITM330-SL01-Q12,,,,
Title,"Deletion anomaly example",,,,
QuestionText,"Deleting all of Wendy Henry's appointments (Luna and Milo) also removes her record as a PetVax client. Which anomaly is this?",,,,
Points,1,,,,
Difficulty,2,,,,
Option,0,"Modification anomaly",,"Modification is about inconsistent updates, not data loss from deletion.",
Option,0,"Insertion anomaly",,"Insertion is about being unable to add new data.",
Option,100,"Deletion anomaly",,"Correct. Deleting appointment rows unintentionally deletes the only record that Wendy Henry is a client.",
Option,0,"Referential integrity",,"Referential integrity prevents this kind of problem — it is the solution, not the problem.",
Hint,,,,"If you delete ALL rows for a person and lose the only record they exist — what kind of problem is that?",
Feedback,,,,"A deletion anomaly occurs when removing rows for one purpose unintentionally removes data that should have been stored separately. Wendy Henry's client identity should live in an owner table, not only on appointment rows.",
,,,,,
//Q13: MC — VLOOKUP simulates relationships,,,,,
NewQuestion,MC,,,,
ID,BITM330-SL01-Q13,,,,
Title,"What VLOOKUP simulates",,,,
QuestionText,"In a spreadsheet, what does a lookup formula such as VLOOKUP or XLOOKUP simulate?",,,,
Points,1,,,,
Difficulty,2,,,,
Option,100,"A relationship between data sources",,"Correct. VLOOKUP pulls values from one table into another based on a shared column — simulating a relationship.",
Option,0,"A report footer",,"VLOOKUP does not create report formatting.",
Option,0,"A primary-key icon",,"VLOOKUP does not create or enforce primary keys.",
Option,0,"A password",,"VLOOKUP has nothing to do with security.",
Hint,,,,"Think about what VLOOKUP does: it finds a matching value in one table and returns a related value — what database concept does this resemble?",
Feedback,,,,"VLOOKUP (and XLOOKUP) simulate database relationships by matching rows across data sources on a shared column. In a database, a JOIN does this more reliably and with enforcement.",
,,,,,
//Q14: SA — Schema notation for SERVICE_RATES,,,,,
NewQuestion,SA,,,,
ID,BITM330-SL01-Q14,,,,
Title,"Schema notation for SERVICE_RATES",,,,
QuestionText,"Write the schema notation for the SERVICE_RATES table. Use the pattern: TABLENAME(Field1, Field2, ...)",,,,
Points,1,,,,
Difficulty,2,,,,
InputBox,2,60,,,
Answer,100,"SERVICE_RATES(ServiceType, StandardFee, RequiresVaccineTracking)",,,
Answer,100,"SERVICE_RATES(ServiceType,StandardFee,RequiresVaccineTracking)",,,
Answer,100,"service_rates(ServiceType, StandardFee, RequiresVaccineTracking)",,,
Hint,,,,"Look at the SERVICE_RATES table in your database — what are its three column names?",
Feedback,,,,"Schema notation describes a table's structure: TABLENAME(Field1, Field2, Field3). SERVICE_RATES has three fields: ServiceType, StandardFee, and RequiresVaccineTracking.",
,,,,,
//Q15: MC — Purpose of a primary key,,,,,
NewQuestion,MC,,,,
ID,BITM330-SL01-Q15,,,,
Title,"Purpose of a primary key",,,,
QuestionText,"What is the purpose of a primary key?",,,,
Points,1,,,,
Difficulty,1,,,,
Option,0,"To make the table look organized.",,"Organization is a side effect, not the purpose.",
Option,100,"To uniquely identify each row in the table.",,"Correct. A primary key guarantees that no two rows can be confused.",
Option,0,"To increase the file size.",,"Primary keys add minimal overhead — their purpose is identification.",
Option,0,"To replace validation rules.",,"Primary keys and validation rules serve completely different purposes.",
Hint,,,,"What problem would you have if two rows had the same AppointmentID?",
Feedback,,,,"A primary key uniquely identifies every row. Without it, you cannot reliably tell two rows apart, update a specific record, or connect tables in a relational database.",
,,,,,
//Q16: SA — Row count after Maple,,,,,
NewQuestion,SA,,,,
ID,BITM330-SL01-Q16,,,,
Title,"Row count after adding Maple",,,,
QuestionText,"After adding Maple, how many rows are in PETVAX_APPOINTMENTS?",,,,
Points,1,,,,
Difficulty,1,,,,
InputBox,3,10,,,
Answer,100,24,,,
Answer,100,"24 rows",,,
Hint,,,,"Starter database has 23 rows. You added one — Maple. Count them.",
Feedback,,,,"The starter database has 23 rows. After adding Maple (AppointmentID 1025), the table contains exactly 24 rows.",
,,,,,
//Q17: SA — qryNoShows row count,,,,,
NewQuestion,SA,,,,
ID,BITM330-SL01-Q17,,,,
Title,"qryNoShows row count",,,,
QuestionText,"How many rows does qryNoShows return?",,,,
Points,2,,,,
Difficulty,2,,,,
InputBox,3,10,,,
Answer,100,2,,,
Answer,100,"2 rows",,,
Hint,,,,"Run qryNoShows. How many appointments have AppointmentStatus = No-show?",
Feedback,,,,"The qryNoShows query filters for AppointmentStatus = 'No-show'. Two appointments (Mango, row 1006, and Max, row 1010) have this status.",
,,,,,
//Q18: SA — qryVaccinationAppointments row count,,,,,
NewQuestion,SA,,,,
ID,BITM330-SL01-Q18,,,,
Title,"qryVaccinationAppointments row count after Maple",,,,
QuestionText,"How many rows does qryVaccinationAppointments return after Maple is added?",,,,
Points,2,,,,
Difficulty,2,,,,
InputBox,3,10,,,
Answer,100,12,,,
Answer,100,"12 rows",,,
Hint,,,,"The starter data has 11 vaccination appointments. Maple is also a vaccination appointment. Add them.",
Feedback,,,,"There are 11 vaccination appointments in the starter data. Adding Maple (ServiceType = Vaccination) brings the total to 12.",
,,,,,
//Q19: SA — Dental Cleaning average payment,,,,,
NewQuestion,SA,,,,
ID,BITM330-SL01-Q19,,,,
Title,"Dental Cleaning average payment",,,,
QuestionText,"In qryAveragePaymentByService, what is the average payment for Dental Cleaning? Enter a number rounded to two decimals.",,,,
Points,2,,,,
Difficulty,3,,,,
InputBox,3,10,,,
Answer,100,123.32,,,
Answer,100,"$123.32",,,
Answer,100,123.3,,,
Hint,,,,"Run qryAveragePaymentByService and look at the Dental Cleaning row. The PaymentAmount column should use Avg.",
Feedback,,,,"Dental Cleaning appears three times in the data (Charlie at 123.32, Bandit at 123.32, Apollo at 123.32). The average is 123.32.",
,,,,,
//Q20: MC — Validation rule behavior,,,,,
NewQuestion,MC,,,,
ID,BITM330-SL01-Q20,,,,
Title,"Validation rule rejection behavior",,,,
QuestionText,"What happens when you try to enter 150 in WeightKg after adding the Between 0 And 100 validation rule?",,,,
Points,1,,,,
Difficulty,1,,,,
Option,0,"Access accepts it with a warning.",,"Access does not accept values that violate a validation rule — it blocks them entirely.",
Option,100,"Access rejects it and shows the validation text.",,"Correct. The DBMS enforces the rule and displays your custom message.",
Option,0,"Access converts it to 100.",,"Access does not silently change your data to fit the rule.",
Option,0,"Access deletes the row.",,"Access rejects the entry but does not delete existing data.",
Hint,,,,"Try it yourself in Access — enter 150 in any WeightKg field and see what happens.",
Feedback,,,,"Access enforces the validation rule by rejecting the invalid value and displaying the validation text you set (e.g., 'Weight must be between 0 and 100 kg.'). This is the DBMS protecting data integrity.",
,,,,,
//Q21: SA — qryAppointmentCountByStatus row count,,,,,
NewQuestion,SA,,,,
ID,BITM330-SL01-Q21,,,,
Title,"qryAppointmentCountByStatus row count",,,,
QuestionText,"After adding Maple, how many rows does qryAppointmentCountByStatus return?",,,,
Points,1,,,,
Difficulty,2,,,,
InputBox,3,10,,,
Answer,100,3,,,
Answer,100,"3 rows",,,
Hint,,,,"This query groups by AppointmentStatus and counts. How many different status values exist?",
Feedback,,,,"The query groups appointments by status and counts. There are three status values: Completed (21), No-show (2), and Scheduled (1 after Maple), producing exactly 3 rows.",
,,,,,
//Q22: MS — Access features added,,,,,
NewQuestion,MS,,,,
ID,BITM330-SL01-Q22,,,,
Title,"Access features added to the starter database",,,,
QuestionText,"Select ALL that apply: Which Access features did you add that the starter database did not have?",,,,
Points,2,,,,
Difficulty,2,,,,
Scoring,RightAnswers,,,,
Option,1,"Primary key",,"Correct. You set AppointmentID as the primary key — the starter database had none.",
Option,1,"Validation rules",,"Correct. You added validation rules for WeightKg, PaymentAmount, and AppointmentStatus.",
Option,1,"Data-entry form",,"Correct. You created frmPetVaxAppointments.",
Option,1,"Saved reusable queries",,"Correct. You built and saved four queries.",
Option,1,"Report",,"Correct. You created rptNoShows.",
Option,0,"Fully normalized owner, pet, and appointment tables",,"The database is still a flat appointment table — normalization comes in later labs.",
Hint,,,,"Review the Part B steps — what did you actually build?",
Feedback,,,,"The starter database contained only raw data in two tables. You added structure: primary key (Step 1), validation rules (Step 2), a form (Step 3), four queries (Step 5), and a report (Step 6). The database remains flat — normalization is a later topic.",
,,,,,
//Q23: MS — Remaining flat-file problems,,,,,
NewQuestion,MS,,,,
ID,BITM330-SL01-Q23,,,,
Title,"Problems still remaining after this lab",,,,
QuestionText,"Select ALL that apply: What problems still remain after this lab because the appointment table is still flat?",,,,
Points,2,,,,
Difficulty,3,,,,
Scoring,RightAnswers,,,,
Option,1,"Owner and pet facts still repeat across appointment rows.",,"Correct. Names and emails are still duplicated.",
Option,1,"Changing one owner's email may still require multiple edits.",,"Correct. Modification anomaly persists because owner data is not separated.",
Option,1,"A pet with no appointments still has no clean table to live in.",,"Correct. Insertion anomaly persists — no separate pet table.",
Option,0,"The database is now fully normalized.",,"False — the database remains a single flat appointment table.",
Option,1,"Deleting all appointments for a pet can still remove the only record for that pet.",,"Correct. Deletion anomaly persists — pet data lives only on appointment rows.",
Hint,,,,"Review the three anomaly types (modification, insertion, deletion). Which ones did this lab fix?",
Feedback,,,,"This lab added structure (PK, validation, form, queries, report) but did NOT normalize the data. Owner, pet, and service details still repeat across rows, and all three anomaly types remain. Normalization begins in a later chapter.",
,,,,,
//Q24: MC — Data dictionary purpose,,,,,
NewQuestion,MC,,,,
ID,BITM330-SL01-Q24,,,,
Title,"Purpose of a data dictionary",,,,
QuestionText,"What is the purpose of a data dictionary?",,,,
Points,1,,,,
Difficulty,1,,,,
Option,0,"It stores the actual data values.",,"Tables store data values — a data dictionary documents what the data means.",
Option,100,"It documents what each field means, its data type, and why it matters.",,"Correct. A data dictionary is metadata about your data.",
Option,0,"It replaces the need for primary keys.",,"A data dictionary and primary keys serve entirely different purposes.",
Option,0,"It automatically normalizes the database.",,"A data dictionary describes fields — it does not restructure tables.",
Hint,,,,"Think about the word 'dictionary' — what does a dictionary do for words?",
Feedback,,,,"A data dictionary documents each field's meaning, data type, and business purpose. It's metadata — data about data — that helps future users understand the database's structure.",
,,,,,
//Q25: MC — Why Access is better than flat file,,,,,
NewQuestion,MC,,,,
ID,BITM330-SL01-Q25,,,,
Title,"Why Access is better than the original flat file",,,,
QuestionText,"Why is an Access database better than the original flat file for this stage of PetVax?",,,,
Points,1,,,,
Difficulty,2,,,,
Option,0,"Access prevents every possible data problem automatically.",,"Access adds helpful controls, but many problems (like the three anomalies) remain because the table is still flat.",
Option,100,"Access adds structure, validation, forms, saved queries, and reports.",,"Correct. These are exactly the improvements you made in this lab.",
Option,0,"Spreadsheets cannot store text.",,"Spreadsheets can store text perfectly well — the problem is structure, not data types.",
Option,0,"Access removes the need to understand the business process.",,"Understanding the business remains essential — the database supports decisions, it does not replace thinking.",
Hint,,,,"What specific improvements did you make in Part B of this lab?",
Feedback,,,,"In this lab, you added a primary key, validation rules, a data-entry form, four saved queries, and a report. These improvements add structure and control that the original flat file lacked, even though the database is not yet fully normalized.",
