Option,0,Data independence — separating physical and logical views,,
Option,0,Concurrency control — managing simultaneous access,,
Option,100,Centralized source of truth — everyone works from the same official data,,
Feedback,"The scenario describes competing copies and governance conflicts — exactly what a centralized source of truth solves. Data independence (A), concurrency (C), and historical analysis (D) address different problems.",,,
,,,,
NewQuestion,MC,,,
Title,"In a flat grading file, deleting...",,,
QuestionText,"In a flat grading file, deleting all quiz scores for a particular deliverable also removes any record that the deliverable type existed. Which anomaly is this, and what database feature prevents it?",,,
Points,1,,,
Option,0,"Insertion anomaly, prevented by NOT NULL",,
Option,0,"Update anomaly, prevented by CHECK constraints",,
Option,100,"Deletion anomaly, prevented by separating deliverables and grades into related tables with foreign keys",,
Option,0,"Compression anomaly, prevented by database indexing",,
Feedback,Deleting quiz scores also removing the deliverable's existence is a deletion anomaly. The solution is separating deliverables and grades into related tables with a foreign key — deleting grades no longer deletes the deliverable definition.,,,
,,,,
NewQuestion,MC,,,
Title,A small business stores customer data...,,,
QuestionText,"A small business stores customer data in a single spreadsheet with these columns: `CustomerID, Name, Email, OrderID, Product, Price, OrderDate`. As the business grows, which single change would most improve data reliability?",,,
Points,1,,,
Option,0,Add more color coding to distinguish different types of data,,
Option,0,Add more rows to the existing spreadsheet,,
Option,100,Separate the data into related tables — CUSTOMER and ORDER — with a foreign key linking them,,
Option,0,Convert the spreadsheet to a CSV file for faster loading,,
Feedback,"Separating mixed themes into related tables with foreign keys prevents the redundancy, anomalies, and governance conflicts of flat files. Color coding (A), more rows (C), or CSV conversion (D) do not address structural fragility.",,,
,,,,
NewQuestion,MC,,,
Title,Two database designs are proposed for...,,,
QuestionText,"Two database designs are proposed for a veterinary clinic. Design A uses one flat table: `VISIT(PetName, OwnerName, OwnerPhone, VisitDate, Service, Fee)`. Design B uses related tables: `PET(PetID, PetName, OwnerID)`, `OWNER(OwnerID, OwnerName, OwnerPhone)`, `VISIT(VisitID, PetID, VisitDate, Service, Fee)`. Which design does Chapter 4's reasoning support, and why?",,,
Points,1,,,
Option,100,"Design B, because separating subjects into related tables prevents redundancy, update anomalies, and the structural fragility that flat tables exhibit",,
Option,0,"Design A, because fewer tables are always easier to manage",,
Option,0,"Design B, because databases require at least three tables by rule",,
Option,0,"Design A, because all the data fits on one screen",,
Feedback,"Design B separates subjects (pets, owners, visits) into related tables — exactly what Chapter 4 recommends to prevent redundancy, update anomalies, and structural fragility. Fewer tables (A) is simpler but structurally worse.",,,
,,,,
NewQuestion,MC,,,
Title,The chapter's Let's Build uses Microsoft...,,,
QuestionText,"The chapter's Let's Build uses Microsoft Access, but the chapter also discusses SQLite and PostgreSQL. When would an organization choose a server-based platform like PostgreSQL over a file-based platform like Access or SQLite?",,,
Points,1,,,
Option,0,When the database does not need to enforce any rules or constraints,,
Option,100,"When the organization needs multi-user concurrent access, strong typing, and production-style workflows",,
Option,0,When the database will contain fewer than 100 records,,
Option,0,When only one person ever needs to access the data,,
Feedback,"Chapter 4 presents the architectural spectrum with server-based platforms for multi-user concurrent access, strong typing, and production workflows. Single-user (A), tiny datasets (C), or no rules needed (D) describe scenarios where file-based platforms suffice.",,,
,,,,
NewQuestion,MC,,,
Title,An organization currently uses a single...,,,
QuestionText,"An organization currently uses a single flat CSV file for all customer, order, and product data. A consultant recommends moving to a database. Based on Chapter 4, what is the strongest argument for following this recommendation?",,,
Points,1,,,
Option,0,CSV files cannot be opened on modern computers,,
Option,100,"A database with related tables, primary keys, foreign keys, and constraints would prevent the redundancy, anomalies, and governance conflicts that are inevitable in a single flat file as data grows",,
Option,0,CSV files are an outdated format that will stop working soon,,
Option,0,Databases are required by law for any business with customers,,
Feedback,"The strongest argument is structural: databases prevent the redundancy, anomalies, and governance conflicts inevitable in flat files. CSV obsolescence (A), legal requirements (C), and incompatibility (D) are not arguments made in the chapter.",,,
,,,,
