Option,0,Shut down all banking operations globally until the network is fixed,,Incorrect - Shut down all banking operations globally until the network is fixed
Option,0,Ignore the partition and hope it resolves itself,,Incorrect - Ignore the partition and hope it resolves itself
Hint,,,,"What is worse for a bank: temporarily declining some transactions, or allowing accounts to be overdrawn?"
Feedback,,,,"For financial transactions, consistency is more important than availability. The CAP theorem states you cannot have both during a partition - you must choose. Banking prioritizes correctness."
,,,,
NewQuestion,MC,,,
ID,BITM330-CH14-Q07,,,
Title,CH14 Q7: Prompt Is Not a Security Boundary,,,
QuestionText,"A company is building a customer-facing AI assistant. The proposed architecture sends the entire customer database to the LLM with every request, relying on a prompt instruction to limit access. What is the most serious flaw?",,,
Points,1,,,
Difficulty,5,,,
Option,0,The prompt is too long for the LLM to process,,Incorrect - The prompt is too long for the LLM to process
Option,100,Using a prompt instruction as a security boundary is not reliable - authorization must be enforced through database controls before data reaches the model,,Correct - Using a prompt instruction as a security boundary is not reliable - authorizatio
Option,0,LLMs cannot process database records,,Incorrect - LLMs cannot process database records
Option,0,The database should use NoSQL instead,,Incorrect - The database should use NoSQL instead
Hint,,,,Can you trust a language model to reliably enforce access control through natural language instructions?
Feedback,,,,A prompt instruction is not a security boundary. Authorization must be enforced through database access controls before data reaches the model. Sending all data and hoping the model filters correctly is dangerous.
,,,,
NewQuestion,MC,,,
ID,BITM330-CH14-Q08,,,
Title,CH14 Q8: Flexible Documents at Scale,,,
QuestionText,"A startup stores all data in flexible document columns. At 50 million records, queries searching inside documents are slow. What is the most appropriate response?",,,
Points,1,,,
Difficulty,5,,,
Option,0,Continue with the current approach - performance will improve automatically,,Incorrect - Continue with the current approach - performance will improve automatically
Option,100,Evaluate which fields are consistently queried and consider extracting them into indexed relational columns while keeping truly variable attributes in documents,,Correct - Evaluate which fields are consistently queried and consider extracting them into
Option,0,Delete half the data to improve speed,,Incorrect - Delete half the data to improve speed
Option,0,Replace the entire system with a key-value store,,Incorrect - Replace the entire system with a key-value store
Hint,,,,The chapter recommends a specific pattern: a relational core with a flexible edge.
Feedback,,,,"A hybrid approach is best: keep stable, frequently-queried fields in indexed relational columns, and use document columns for truly variable attributes. This preserves flexibility while gaining relational performance."
,,,,
NewQuestion,MC,,,
ID,BITM330-CH14-Q09,,,
Title,CH14 Q9: RAG - Retrieval vs. Generation Failure,,,
QuestionText,A RAG system retrieves a policy document and generates an answer. The answer is fluent but contradicts the retrieved document. What is the most likely explanation?,,,
Points,1,,,
Difficulty,4,,,
Option,0,The database connection failed,,Incorrect - The database connection failed
Option,100,The model generated a plausible continuation not faithful to the evidence - retrieval succeeded but generation failed,,Correct - The model generated a plausible continuation not faithful to the evidence - retr
Option,0,Vector search cannot retrieve text documents,,Incorrect - Vector search cannot retrieve text documents
Option,0,The user asked the wrong question,,Incorrect - The user asked the wrong question
Hint,,,,"RAG has two stages. If the right document was found but the answer is wrong, which stage failed?"
Feedback,,,,"RAG can fail at retrieval (wrong documents) or generation (model ignores evidence). When the correct document was retrieved but the answer contradicts it, generation failed - the model produced fluent but unfaithful output."
,,,,
NewQuestion,MC,,,
ID,BITM330-CH14-Q10,,,
Title,CH14 Q10: Relational Relevance for Modern Workloads,,,
QuestionText,"The chapter argues that modern infrastructure does not always require abandoning relational databases. A growing company with operational, analytical, and AI retrieval needs should consider which approach?",,,
Points,1,,,
Difficulty,5,,,
Option,0,Replace everything with a vector database for AI workloads,,Incorrect - Replace everything with a vector database for AI workloads
Option,100,"A strong relational platform can support all three modes - operational, analytical, and AI retrieval - when the workload and scale are appropriate",,"Correct - A strong relational platform can support all three modes - operational, analytic"
Option,0,Relational databases are obsolete for any modern use case,,Incorrect - Relational databases are obsolete for any modern use case
Option,0,Use separate NoSQL systems for each mode with no relational component,,Incorrect - Use separate NoSQL systems for each mode with no relational component
Hint,,,,Reread the chapter's central thesis about what changes and what remains at scale.
Feedback,,,,"The chapter's central thesis: relational databases remain foundational. Modern platforms support operational tables, analytical queries, document columns, full-text search, and vector similarity - all within one environment."
,,,,
